  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -30.000  -0.6699   0.34133   0.32832   0.0800   1.0000   0.3007
 -29.000  -0.6596   0.33007   0.31678   0.0754   1.0000   0.3205
 -28.000  -0.6507   0.32081   0.30727   0.0710   1.0000   0.3405
 -27.000  -0.6350   0.30674   0.29295   0.0666   1.0000   0.3630
 -26.000  -0.6228   0.29670   0.28266   0.0625   1.0000   0.3888
 -25.000  -0.6050   0.28325   0.26897   0.0584   1.0000   0.4160
 -24.000  -0.5894   0.27218   0.25766   0.0546   1.0000   0.4452
 -23.000  -0.5719   0.26079   0.24607   0.0509   1.0000   0.4781
 -22.000  -0.5519   0.24890   0.23394   0.0474   1.0000   0.5152
 -21.000  -0.5351   0.23991   0.22475   0.0446   1.0000   0.5553
 -20.000  -0.5090   0.22617   0.21080   0.0410   1.0000   0.6005
 -19.000  -0.4844   0.21452   0.19892   0.0379   1.0000   0.6500
 -18.000  -0.4606   0.20471   0.18891   0.0352   1.0000   0.7057
 -17.000  -0.4265   0.19078   0.17475   0.0310   1.0000   0.7691
 -16.000  -0.3936   0.17974   0.16345   0.0270   1.0000   0.8401
 -15.000  -0.3468   0.16488   0.14830   0.0195   1.0000   0.9228
 -14.000  -0.2750   0.14233   0.12534   0.0049   1.0000   1.0000
 -13.000  -0.2504   0.13287   0.11557   0.0010   1.0000   1.0000
 -12.000  -0.2269   0.12368   0.10607  -0.0026   1.0000   1.0000
 -11.000  -0.2056   0.11468   0.09669  -0.0061   1.0000   1.0000
 -10.000  -0.1849   0.10521   0.08684  -0.0095   1.0000   1.0000
  -9.000  -0.1644   0.09501   0.07621  -0.0130   1.0000   1.0000
  -8.000  -0.1448   0.08415   0.06492  -0.0164   1.0000   1.0000
  -7.000  -0.1255   0.07285   0.05315  -0.0195   1.0000   1.0000
  -6.000  -0.1056   0.06169   0.04155  -0.0222   1.0000   1.0000
  -5.000  -0.0845   0.05145   0.03087  -0.0239   1.0000   1.0000
  -4.000  -0.0623   0.04287   0.02193  -0.0241   1.0000   1.0000
  -3.000  -0.0399   0.03641   0.01520  -0.0223   1.0000   1.0000
  -2.000  -0.0200   0.03213   0.01082  -0.0177   1.0000   1.0000
  -1.000  -0.0070   0.02974   0.00848  -0.0099   1.0000   1.0000
   0.000   0.0000   0.02896   0.00775  -0.0000   1.0000   1.0000
   1.000   0.0070   0.02973   0.00847   0.0099   1.0000   1.0000
   2.000   0.0200   0.03211   0.01080   0.0177   1.0000   1.0000
   3.000   0.0399   0.03637   0.01517   0.0223   1.0000   1.0000
   4.000   0.0623   0.04282   0.02189   0.0241   1.0000   1.0000
   5.000   0.0844   0.05140   0.03083   0.0239   1.0000   1.0000
   6.000   0.1055   0.06164   0.04149   0.0222   1.0000   1.0000
   7.000   0.1253   0.07278   0.05308   0.0195   1.0000   1.0000
   8.000   0.1445   0.08406   0.06483   0.0164   1.0000   1.0000
   9.000   0.1640   0.09488   0.07609   0.0130   1.0000   1.0000
  10.000   0.1844   0.10503   0.08667   0.0096   1.0000   1.0000
  11.000   0.2048   0.11443   0.09646   0.0062   1.0000   1.0000
  12.000   0.2261   0.12339   0.10579   0.0027   1.0000   1.0000
  13.000   0.2495   0.13256   0.11527  -0.0009   1.0000   1.0000
  14.000   0.2741   0.14198   0.12500  -0.0048   1.0000   1.0000
  15.000   0.3456   0.16433   0.14776  -0.0193   0.9225   1.0000
  16.000   0.3923   0.17919   0.16291  -0.0267   0.8399   1.0000
  17.000   0.4254   0.19031   0.17429  -0.0309   0.7689   1.0000
  18.000   0.4593   0.20418   0.18840  -0.0350   0.7056   1.0000
  19.000   0.4832   0.21403   0.19844  -0.0377   0.6500   1.0000
  20.000   0.5078   0.22566   0.21029  -0.0408   0.6005   1.0000
  21.000   0.5338   0.23936   0.22421  -0.0443   0.5553   1.0000
  22.000   0.5506   0.24832   0.23337  -0.0472   0.5153   1.0000
  23.000   0.5704   0.26014   0.24542  -0.0507   0.4782   1.0000
  24.000   0.5880   0.27149   0.25698  -0.0543   0.4453   1.0000
  25.000   0.6036   0.28254   0.26826  -0.0581   0.4161   1.0000
  26.000   0.6214   0.29599   0.28195  -0.0622   0.3889   1.0000
  27.000   0.6334   0.30590   0.29211  -0.0662   0.3631   1.0000
  28.000   0.6493   0.32002   0.30648  -0.0706   0.3406   1.0000
  29.000   0.6580   0.32917   0.31588  -0.0750   0.3207   1.0000
  30.000   0.6683   0.34032   0.32732  -0.0796   0.3009   1.0000
